Date;Heures;Consommation;t
2017-04-17;15;44586.0;15.55476190476193
2017-04-17;18;43075.0;13.535714285714308
2017-04-17;21;48138.0;9.838095238095258
2017-04-18;0;50769.0;8.257142857142878
2017-04-18;3;43567.0;6.538095238095262
2017-04-18;6;47125.0;6.504761904761926
2017-04-18;9;58493.0;11.335714285714309
2017-04-18;12;59697.0;13.357142857142879
2017-04-18;15;55973.0;13.673809523809549
2017-04-18;18;52436.0;11.233333333333354
2017-04-18;21;54533.0;8.042857142857166
2017-04-19;0;56276.0;6.088095238095265
2017-04-19;3;48842.0;4.311904761904783
2017-04-19;6;51340.0;4.361904761904786
2017-04-19;9;61767.0;9.678571428571448
2017-04-19;12;61391.0;12.057142857142876
2017-04-19;15;56979.0;12.569047619047641
2017-04-19;18;53872.0;10.326190476190497
2017-04-19;21;56119.0;6.630952380952401
2017-04-20;0;58306.0;4.364285714285733
2017-04-20;3;50800.0;2.4071428571428832
2017-04-20;6;54003.0;2.8166666666666926
2017-04-20;9;64203.0;9.090476190476213
2017-04-20;12;62357.0;12.066666666666686
2017-04-20;15;57167.0;13.573809523809546
2017-04-20;18;53044.0;11.88333333333336
2017-04-20;21;55346.0;6.845238095238117
2017-04-21;0;58062.0;5.10476190476193
2017-04-21;3;50253.0;2.823809523809549
2017-04-21;6;53127.0;3.9857142857143066
2017-04-21;9;62951.0;12.085365853658558
2017-04-21;12;60395.0;15.628571428571448
2017-04-21;15;54815.0;16.857142857142883
2017-04-21;18;50861.0;15.092857142857165
2017-04-21;21;52304.0;9.447619047619066
2017-04-22;0;54723.0;7.033333333333355
2017-04-22;3;45890.0;5.985714285714308
2017-04-22;6;44753.0;7.026190476190503
2017-04-22;9;50008.0;14.009523809523833
2017-04-22;12;51398.0;17.4261904761905
2017-04-22;15;47293.0;17.987804878048806
2017-04-22;18;44852.0;15.471428571428598
2017-04-22;21;47592.0;11.126190476190501
2017-04-23;0;51720.0;8.547619047619074
2017-04-23;3;43204.0;6.652380952380978
2017-04-23;6;41196.0;7.242857142857164
2017-04-23;9;44620.0;13.519047619047646
2017-04-23;12;47662.0;16.495238095238115
2017-04-23;15;43095.0;17.438095238095258
2017-04-23;18;40920.0;15.485714285714309
2017-04-23;21;46192.0;10.3761904761905
2017-04-24;0;50509.0;7.426190476190499
2017-04-24;3;43306.0;5.640476190476214
2017-04-24;6;46976.0;6.892857142857169
2017-04-24;9;57390.0;14.460975609756128
2017-04-24;12;56918.0;17.990476190476215
2017-04-24;15;53159.0;18.73571428571431
2017-04-24;18;49841.0;16.01904761904764
2017-04-24;21;50915.0;11.790476190476214
2017-04-25;0;52148.0;9.933333333333353
2017-04-25;3;44001.0;8.816666666666688
2017-04-25;6;45804.0;8.821428571428596
2017-04-25;9;57437.0;11.473809523809544
2017-04-25;12;59625.0;12.335714285714309
2017-04-25;15;56793.0;11.633333333333361
2017-04-25;18;54951.0;9.778571428571452
2017-04-25;21;55426.0;7.5880952380952635
2017-04-26;0;56483.0;6.530952380952403
2017-04-26;3;48441.0;5.473809523809546
2017-04-26;6;51141.0;5.533333333333355
2017-04-26;9;62225.0;8.021428571428595
2017-04-26;12;63277.0;9.619047619047643
2017-04-26;15;59593.0;9.360975609756123
2017-04-26;18;57633.0;8.09756097560978
2017-04-26;21;58010.0;5.9146341463414895
2017-04-27;0;59739.0;4.431707317073196
2017-04-27;3;51758.0;3.6000000000000214
2017-04-27;6;54452.0;4.21219512195124
2017-04-27;9;65357.0;8.337500000000023
2017-04-27;12;64639.0;9.997619047619073
2017-04-27;15;60337.0;10.395238095238117
2017-04-27;18;57284.0;8.86666666666669
2017-04-27;21;58341.0;6.214285714285735
2017-04-28;0;60305.0;4.869047619047639
2017-04-28;3;52083.0;4.250000000000023
2017-04-28;6;54672.0;5.190476190476209
2017-04-28;9;65149.0;9.934146341463437
2017-04-28;12;63781.0;11.985714285714312
2017-04-28;15;58589.0;12.502380952380971
2017-04-28;18;54924.0;11.31428571428574
2017-04-28;21;55526.0;7.526190476190497
2017-04-29;0;58825.0;5.223809523809543
2017-04-29;3;49799.0;3.8000000000000247
2017-04-29;6;49070.0;5.171428571428591
2017-04-29;9;53725.0;12.607142857142884
2017-04-29;12;53021.0;15.661904761904783
2017-04-29;15;48064.0;16.761904761904788
2017-04-29;18;44680.0;15.169047619047639
2017-04-29;21;47327.0;10.483333333333352
2017-04-30;0;52686.0;8.566666666666693
2017-04-30;3;44060.0;7.816666666666691
2017-04-30;6;41805.0;9.09761904761907
2017-04-30;9;44973.0;14.119047619047643
2017-04-30;12;48491.0;15.750000000000021
2017-04-30;15;45091.0;13.92857142857145
2017-04-30;18;43343.0;11.400000000000025
2017-04-30;21;48512.0;9.000000000000023
2017-05-01;0;52080.0;7.957142857142881
2017-05-01;3;43670.0;7.235714285714312
2017-05-01;6;42021.0;7.347619047619071
2017-05-01;9;45534.0;10.369047619047643
2017-05-01;12;49985.0;12.673809523809544
2017-05-01;15;45323.0;13.35250000000002
2017-05-01;18;43563.0;11.68095238095241
2017-05-01;21;48151.0;9.328571428571447
2017-05-02;0;51920.0;8.314285714285734
2017-05-02;3;44609.0;7.75238095238097
2017-05-02;6;48031.0;8.747619047619065
2017-05-02;9;59497.0;12.242857142857165
2017-05-02;12;60354.0;13.61666666666669
2017-05-02;15;56687.0;14.200000000000026
2017-05-02;18;53785.0;12.645238095238115
2017-05-02;21;53536.0;10.204761904761927
2017-05-03;0;55148.0;8.89761904761907
2017-05-03;3;46854.0;8.183333333333357
2017-05-03;6;49014.0;8.704761904761927
2017-05-03;9;60409.0;12.383333333333352
2017-05-03;12;60912.0;14.197619047619074
2017-05-03;15;57175.0;14.254761904761928
2017-05-03;18;54459.0;12.973809523809548
2017-05-03;21;54089.0;10.242857142857169
2017-05-04;0;56008.0;8.754761904761926
2017-05-04;3;47194.0;8.069047619047641
2017-05-04;6;49332.0;8.845238095238118
2017-05-04;9;59881.0;12.792857142857164
2017-05-04;12;60395.0;15.088095238095255
2017-05-04;15;56153.0;15.526190476190502
2017-05-04;18;52944.0;14.483333333333354
2017-05-04;21;52148.0;11.21904761904764
2017-05-05;0;54498.0;9.845238095238122
2017-05-05;3;46361.0;8.971428571428593
2017-05-05;6;48387.0;9.907142857142881
2017-05-05;9;58502.0;14.085714285714309
2017-05-05;12;58121.0;17.01666666666669
2017-05-05;15;53497.0;18.123809523809545
2017-05-05;18;50136.0;16.502380952380978
2017-05-05;21;49659.0;13.495238095238117
2017-05-06;0;52563.0;12.01428571428574
2017-05-06;3;42821.0;11.278571428571448
2017-05-06;6;40914.0;11.754761904761928
2017-05-06;9;47356.0;13.366666666666685
2017-05-06;12;51991.0;14.745238095238122
2017-05-06;15;48906.0;15.295238095238119
2017-05-06;18;46208.0;14.223809523809548
2017-05-06;21;46932.0;12.12439024390246
2017-05-07;0;50883.0;10.975609756097587
2017-05-07;3;41714.0;10.626829268292704
2017-05-07;6;38909.0;11.065853658536607
2017-05-07;9;42907.0;14.007317073170753
2017-05-07;12;47993.0;15.58048780487807
2017-05-07;15;44175.0;15.975609756097583
